Date,k_A1,k_B1,k_A2,k_B2,d_A1,d_B1,d_A2,d_B2,c_A1,c_B1,c_A2,c_B2
06_25_2025,-0.046553,-3.2e-05,-0.045613,-1.2e-05,0.007893,-0.289403,0.046287,0.312893,-0.255945,0.004207,-0.427424,0.015885
06_25_2025,-0.045821,1.4e-05,-0.044647,8.2e-05,0.008485,0.143941,0.048077,0.150927,-0.227986,0.004501,-0.93074,0.015548
06_25_2025,-0.045118,0.00016,-0.044397,0.00013,0.009105,0.089814,0.04372,0.145884,-0.229983,0.004427,-0.946479,0.015564
06_26_2025,-0.044537,1.2e-05,-0.049737,0.000134,0.00881,0.193437,0.023121,-0.028231,-0.23988,0.004235,-0.479715,0.015458
06_26_2025,-0.043515,6.7e-05,-0.045737,-0.000213,0.009348,0.299853,0.042323,0.109345,-0.23818,0.004374,-0.530061,0.015477
06_27_2025,-0.048527,0.00083,-0.671299,0.003034,0.013009,0.11681,-0.096982,0.109978,-0.025255,0.004307,-1.402897,0.015372
06_27_2025,-0.048527,0.00083,-0.671299,0.003034,0.013009,0.11681,-0.096982,0.109978,-0.025255,0.004307,-1.402897,0.015372
06_27_2025,-0.046688,0.000119,-0.04497,7.6e-05,0.009075,0.193601,0.041111,0.099317,-0.026002,0.004571,-0.474393,0.015595
07_02_2025,-0.047269,-5e-06,-0.046184,5.6e-05,0.009066,-1.854254,0.052102,-0.06902,0.280633,0.004403,0.101502,0.014988
07_09_2025,5.4e-05,-0.046833,-0.000162,-0.046016,0.19218,0.009751,0.088967,0.048646,0.01415,0.451608,0.014878,0.359203
07_09_2025,5.4e-05,-0.046833,-0.000162,-0.046016,0.19218,0.009751,0.088967,0.048646,0.01415,0.451608,0.014878,0.359203
07_09_2025,-0.046833,-0.046833,-0.046016,-0.046016,0.009751,0.009751,0.048646,0.048646,0.451608,0.451608,0.359203,0.359203
07_10_2025,-0.046833,-0.046833,-0.046016,-0.046016,0.009751,0.009751,0.048646,0.048646,0.451608,0.451608,0.359203,0.359203
