==================================================================
Mass (g),Position (cm),Avg Strain A1,Avg Strain B1,Avg Strain A2,Avg Strain B2
0.0,7.0,-0.23814193062160327,0.004543138586956522,-0.5294998832370924,0.015631634256114132
0.0,10.0,-0.238037109375,0.004537637951304611,-0.5297718233275182,0.015441005669751214
0.0,14.0,-0.23792877197265624,0.004278564453125,-0.5299102783203125,0.0154327392578125
200.0,7.0,-0.24352062905615124,0.00426419432491535,-0.532620604366535,0.015629408860045147
200.0,10.0,-0.2461032311893204,0.004230980734223301,-0.53564453125,0.015423524726941747
200.0,14.0,-0.24968217058879574,0.004236484930767276,-0.5394143205348069,0.01527491623793191
500.0,7.0,-0.2510193500322165,0.00425610099871134,-0.5361302955863402,0.015529357280927835
500.0,10.0,-0.25757202882327157,0.004391106431613227,-0.5430697821424099,0.015426360533567135
500.0,14.0,-0.26578917983890504,0.004311495049055232,-0.5522676216539486,0.015519016472868217
1000.0,7.0,-0.26398529877533783,0.004254696027156965,-0.542408393970894,0.015529069484147609
1000.0,10.0,-0.2768977703434406,0.004238619662747525,-0.5559819287592822,0.015531936494430692
1000.0,14.0,-0.2938946500447227,0.004293206339445439,-0.573482615789915,0.015416017371981217
