==================================================================
Mass (g),Position (cm),Avg Strain A1,Avg Strain B1,Avg Strain A2,Avg Strain B2
0.0,6.0,0.014261706122036638,0.3585797890849497,0.015209680316091954,0.25587410762392243
0.0,10.0,0.014397532669539304,0.35862322935124036,0.01543811916076031,0.25592528667646586
0.0,16.0,0.01445530693312198,0.35862871990111717,0.01531260025098128,0.2559923549781099
200.0,6.0,0.014428840112433863,0.35405105510085977,0.015360837260251323,0.25480918278769843
200.0,10.0,0.014595209166061046,0.35067950108254603,0.015326211618822675,0.25193798449612403
200.0,16.0,0.014285468614679562,0.3456302493053551,0.01524962674112298,0.247425669610638
1000.0,6.0,0.014651969627097802,0.3364238032588252,0.015318128797743056,0.25121971412941263
1000.0,10.0,0.014354777785966982,0.3198163014537883,0.015420014003537735,0.23637663643315154
1000.0,16.0,0.014323831051029962,0.2959001138713327,0.015148300951935081,0.21491537677512484
2000.0,6.0,0.014406215465373282,0.3144521657048134,0.015376302722863458,0.24631522727621563
2000.0,10.0,0.014340360306828004,0.28225568212510804,0.015309431888774849,0.2175288748514477
2000.0,16.0,0.014511961374223602,0.23248708026009315,0.015382628509963768,0.17344093717650103
