==================================================================
Mass (g),Position (cm),Avg Strain 1,Avg Strain 11,Avg Strain 2,Avg Strain 3
0.0,15.0,-0.04041164411037458,-0.04041164411037458,0.08587256023779462,-0.07584491562763047
0.0,30.0,-0.040446182305667565,-0.040446182305667565,0.08592503045194892,-0.07586188641073029
0.0,45.0,-0.040443530981091484,-0.040443530981091484,0.08595673934273097,-0.07583065309386322
100.0,15.0,-0.0431171068399705,-0.0431171068399705,0.08383871883066003,-0.07715906013781341
100.0,30.0,-0.04608982079283454,-0.04608982079283454,0.08056861366975587,-0.0804461018733047
100.0,45.0,-0.04901132843850321,-0.04901132843850321,0.07731479014095104,-0.0836916413774077
500.0,15.0,-0.053495629433473926,-0.053495629433473926,0.07562368194018405,-0.08187697708972393
500.0,30.0,-0.06783366068912063,-0.06783366068912063,0.059591506218292,-0.0978220839645575
500.0,45.0,-0.08219808371476554,-0.08219808371476554,0.0436417445995785,-0.11368939446950738
1500.0,15.0,-0.07950653900971284,-0.07950653900971284,0.05478647592905406,-0.09384072793496621
1500.0,30.0,-0.12228501773049645,-0.12228501773049645,0.0072220606161347515,-0.14130547706117022
1500.0,45.0,-0.16488566029026366,-0.16488566029026366,-0.0402762232469028,-0.1887351282064009
