SOFTWARE VERSION,Operator,YEAR,MONTH,DAY,TimeOfTest,PLOT,HEIGHT,Cycle,Interaction,PlotID,Stalk,TestNumber,Filename,Folder,EI_POT,FlexRsq
2.3.0,MH,2025,8,18,20:32:43,1,73,half cycle,no interaction,O-9-A,1,157,2022_06_24_20_32_43_P1_T157.csv,/home/drdoug/DATA/All Research Projects/Devices/Flipper - Rodney/2025 Field Data/2025.08.18 Testing/2025-08-22 - Device 1,4.44503601762429,0.9647374
2.3.0,MH,2025,8,18,20:32:51,1,73,half cycle,no interaction,O-9-A,1,158,2022_06_24_20_32_51_P1_T158.csv,/home/drdoug/DATA/All Research Projects/Devices/Flipper - Rodney/2025 Field Data/2025.08.18 Testing/2025-08-22 - Device 1,3.73343798184487,0.9405813
2.3.0,MH,2025,8,18,20:33:00,1,73,half cycle,no interaction,O-9-A,1,159,2022_06_24_20_33_00_P1_T159.csv,/home/drdoug/DATA/All Research Projects/Devices/Flipper - Rodney/2025 Field Data/2025.08.18 Testing/2025-08-22 - Device 1,3.88648978549277,0.9519424
2.3.0,MH,2025,8,18,20:33:11,1,73,half cycle,no interaction,O-9-A,1,160,2022_06_24_20_33_10_P1_T160.csv,/home/drdoug/DATA/All Research Projects/Devices/Flipper - Rodney/2025 Field Data/2025.08.18 Testing/2025-08-22 - Device 1,3.99396996330161,0.9570884
2.3.0,MH,2025,8,18,20:33:27,1,73,half cycle,no interaction,O-9-A,1,161,2022_06_24_20_33_26_P1_T161.csv,/home/drdoug/DATA/All Research Projects/Devices/Flipper - Rodney/2025 Field Data/2025.08.18 Testing/2025-08-22 - Device 1,3.38762963601989,0.9688496
2.3.0,MH,2025,8,18,20:33:57,1,73,half cycle,no interaction,O-9-A,2,162,2022_06_24_20_33_57_P1_T162.csv,/home/drdoug/DATA/All Research Projects/Devices/Flipper - Rodney/2025 Field Data/2025.08.18 Testing/2025-08-22 - Device 1,13.0183239526559,0.9666608
2.3.0,MH,2025,8,18,20:34:07,1,73,half cycle,no interaction,O-9-A,2,163,2022_06_24_20_34_07_P1_T163.csv,/home/drdoug/DATA/All Research Projects/Devices/Flipper - Rodney/2025 Field Data/2025.08.18 Testing/2025-08-22 - Device 1,12.0157094557374,0.951321
2.3.0,MH,2025,8,18,20:34:20,1,73,half cycle,no interaction,O-9-A,2,164,2022_06_24_20_34_20_P1_T164.csv,/home/drdoug/DATA/All Research Projects/Devices/Flipper - Rodney/2025 Field Data/2025.08.18 Testing/2025-08-22 - Device 1,13.0912185382414,0.9861584
2.3.0,MH,2025,8,18,20:34:38,1,73,half cycle,no interaction,O-9-A,2,165,2022_06_24_20_34_38_P1_T165.csv,/home/drdoug/DATA/All Research Projects/Devices/Flipper - Rodney/2025 Field Data/2025.08.18 Testing/2025-08-22 - Device 1,8.82568619983685,0.9503154
2.3.0,MH,2025,8,18,20:34:46,1,73,half cycle,no interaction,O-9-A,2,166,2022_06_24_20_34_46_P1_T166.csv,/home/drdoug/DATA/All Research Projects/Devices/Flipper - Rodney/2025 Field Data/2025.08.18 Testing/2025-08-22 - Device 1,7.81639940623535,0.9434588
2.3.0,MH,2025,8,18,20:35:00,1,73,half cycle,no interaction,O-9-A,2,167,2022_06_24_20_35_00_P1_T167.csv,/home/drdoug/DATA/All Research Projects/Devices/Flipper - Rodney/2025 Field Data/2025.08.18 Testing/2025-08-22 - Device 1,11.2775781399217,0.9329051
2.3.0,MH,2025,8,18,20:36:33,1,73,half cycle,no interaction,O-9-A,3,168,2022_06_24_20_36_33_P1_T168.csv,/home/drdoug/DATA/All Research Projects/Devices/Flipper - Rodney/2025 Field Data/2025.08.18 Testing/2025-08-22 - Device 1,1.41584854554856,0.9782362
2.3.0,MH,2025,8,18,20:36:42,1,73,half cycle,no interaction,O-9-A,3,169,2022_06_24_20_36_42_P1_T169.csv,/home/drdoug/DATA/All Research Projects/Devices/Flipper - Rodney/2025 Field Data/2025.08.18 Testing/2025-08-22 - Device 1,1.42895119483499,0.9509302
2.3.0,MH,2025,8,18,20:36:58,1,73,half cycle,no interaction,O-9-A,3,170,2022_06_24_20_36_58_P1_T170.csv,/home/drdoug/DATA/All Research Projects/Devices/Flipper - Rodney/2025 Field Data/2025.08.18 Testing/2025-08-22 - Device 1,0.963884926798469,0.9416225
