Stalk,Test_41,Test_42,Test_43,Test_44,Test_45,Test_46,Test_47,Test_48,Test_49,Test_50,Mean,Median,Std_Dev
S01,12.754811388693144,7.484108719755139,7.140256790945874,8.007441418048318,27.232146794785454,6.174354978880491,9.921861808410055,7.944291702120048,8.381463629011572,8.824546257513523,10.386528348816361,8.194452523529945,6.185906119322873
S02,17.74110971359875,14.435988536454547,13.343717364634864,16.29944068459227,,16.757688399244433,15.565834430530183,17.5592378861104,13.397897901912843,23.278774542682854,16.486632162195683,16.29944068459227,3.02979181862166
S03,6.515615020455432,10.40734816997915,11.549283053221854,12.85985004255131,14.06609463880759,9.82384144157874,8.6194956976039,11.093644328525798,8.00419197844276,7.540219787205108,10.047958415837163,10.115594805778944,2.416670510698354
S04,7.358744365007092,16.712081375071715,21.170621523598975,22.04358344649197,16.10623325927065,24.468515346573984,23.87847471511395,18.971400421641558,13.847184602962395,17.868733506379076,18.242557256211136,18.420066964010317,5.152144722882426
S05,24.200014689728025,22.551131985496866,12.489608854969283,52.98348879636788,26.842389921186193,,24.07808684507813,31.19698038499347,44.3589585438226,38.76790658029912,30.829840733549062,26.842389921186193,12.486545228487303
S06,-2.467931563469053,6.3070436941664125,5.852722513565939,10.04269838253862,1.659225993406279,15.376980395066168,15.392145305468054,-0.31014820246019104,-1.485037752974842,-1.5387077352982939,4.882899103000909,3.755974253486109,6.858445289379194
S07,31,,,,,,,,,,31,31,
S08,23.92441481110794,29.906594857209754,42.295666046555745,23.90834799313319,32.727986473448034,22.142039352051693,49.768414763958596,19.16986029139283,31.260250487317098,15.99886408311207,29.1102439159287,26.915504834158845,10.499672328769606
S09,38.300459442264916,35.02787206176709,30.58382839832525,45.37083439904558,18.238657257151424,50.053791409459485,29.177168468145613,32.238372882117524,22.596138171173376,19.364929887423706,32.0952052376874,31.411100640221385,10.546061215455856
S10,11.580144194526262,13.551482117476963,10.020105062544227,17.209052096618567,8.710249665903728,12.209526870789569,11.146392692967327,11.074908928211562,10.175378221547776,9.12160486776467,11.479884471835067,11.110650810589444,2.472011834927105
S11,14.64075072256547,14.904463859539694,23.544000109758993,12.870270690534797,12.870702216797325,14.672685065085588,16.786475943721154,18.177568791362514,16.01940392245662,14.78777289384423,15.92740942156664,14.846118376691962,3.1284838037286957
S12,25.80589401420652,19.812133583666014,22.071875789054122,26.36043848829389,27.485220788618303,26.518896383112523,32.80544164333192,19.92308340087398,20.940702535238817,21.57578583653722,24.32994724629333,23.93888490163032,4.17512380389891
S13,51.561570839034836,50.956694313267484,35.252474014562985,25.765273971953548,54.407693703799175,36.59007246472322,43.88568099928494,29.788614563750187,24.029472773507262,30.89247558575192,38.313002322963555,35.9212732396431,11.190327077215445
