Stalk,Test_01,Test_02,Test_03,Test_04,Test_05,Test_06,Test_07,Test_08,Test_09,Test_10,Mean,Median,Std_Dev
S01,24.914411225738906,25.093064759239855,25.543951032900992,24.969532789833483,27.721709949448094,26.674387692471097,27.457348013953787,27.62377533356279,26.588254428452785,28.861417251385927,26.544785247698776,26.631321060461943,1.3750278229436763
S02,23.88138926300437,25.346028449019858,23.22438930690873,24.050941901894035,25.859028810538415,21.155089554782037,23.46639184310074,24.492257506357983,27.12565184345415,27.653527368609232,24.625469584766954,24.27159970412601,1.9354134344281428
S03,24.511222994480207,25.110910051275155,25.89031517443874,28.164803647801104,28.568567030355297,28.22673262945138,25.185807440665723,27.10883072941068,28.127008744509414,28.5870635366057,26.7487423134935,27.617919736960047,1.9517896151158118
S04,27.283855546555333,26.513127169464408,28.60407144608644,27.748865666691184,27.11116097034886,30.182900020901673,26.361839625525846,28.136439296895276,28.644407767469133,29.669572059976854,28.025623956991502,27.942652481793232,1.2738857107447574
S05,27.096150933282896,25.258044528865515,27.847072933514294,27.484133274621666,22.036293104987863,33.31592074752632,25.65357660404594,32.368027733884475,28.578313663550247,31.561912219744062,28.119944574402325,27.66560310406798,3.494642706472171

S06,24.590127242066675,19.368009332324696,31.24402297132527,24.178566361471706,28.456972897593456,32.118489193129115,26.832259718878902,22.78501654971618,34.521170860916875,33.47314587527129,27.75677810026942,27.64461630823618,5.042986424094569
S07,29.54099039401316,23.882948386837644,29.535776133308598,23.374905983577207,23.5155998728923,22.527365343784865,24.32968563789245,29.047382428134696,23.98224897322251,26.2233050944369,25.596020824810033,24.155967305557482,2.77309433612221
S08,25.95999424857507,21.94475020695839,26.809415181557398,27.19322741307616,26.713042007797142,25.47128193842397,26.19157930027828,24.796325356883212,29.88240535439692,28.088396983978893,26.305041799192544,26.45231065403771,2.0897387187518714
S09,28.920938953289113,22.755083757932297,24.086169857364055,18.92186728102254,24.103676954317056,19.889499232797714,22.444336503859077,28.796990786781762,21.240354335905362,29.71117437553177,24.087009203880076,23.420626807648176,3.8594176259125446
