Stalk,Test_01,Test_02,Test_03,Test_04,Test_05,Test_06,Test_07,Test_08,Test_09,Test_10,Mean,Median,Std_Dev
S01,15.612562365317112,17.192620887756217,26.190053463874914,,20.268425699140728,13.616718564301237,29.75587774829562,12.273423356031001,24.419620561382093,20.817484303512092,20.016309661067893,20.268425699140728,5.930241904103907
S02,19.264230071796934,19.02976665430386,22.79797130498959,31.72927514120502,,,,,,,23.20531079307385,21.031100688393263,5.9383269185071805
S03,44.540650770458605,39.793713212882714,34.99207860437493,36.42629204764657,23.251892956070666,23.504954435818203,17.21377652102732,23.773902399503985,21.18427685237502,,29.409059755573114,23.773902399503985,9.605427310926993
S04,9.761778191503364,8.41952419080797,4.468417443630898,,5.7728284980072955,6.9051206728538475,6.798632363906182,3.87040368731989,8.70181205898855,5.745028173861978,6.71594947565333,6.798632363906182,1.9731386228347942
S05,14.000227438695804,20.80089926227318,21.34045031547909,26.844062040780937,13.373592825668714,15.495231304452572,25.23123001338219,19.626802724302006,21.585220046076714,16.657038437687238,19.495475440879844,20.213850993287593,4.571977734902009
S06,17.669976892288066,11.289161762359585,18.723772636408597,15.306450437892615,,,6.750428810112467,,15.10227907043793,7.06322557213189,13.129327883090165,15.10227907043793,4.854926475774929
S07,18.19155624477643,17.321175432114302,14.38958613420381,15.321603460599393,12.100657123470443,19.37930388373473,16.843257766243294,13.956092992936115,17.131677424706712,14.534649090901782,15.916955955368701,16.082430613421344,2.2229677622588673
S08,5.861437500649759,11.794194829236064,11.961500305805702,8.437021724319761,,5.4745872779888565,5.532218667374598,,5.415416135241272,2.792785848261707,7.1586452861097145,5.6968280840121786,3.283152267644108
S09,,,,,,2.2514176492620526,,,,,2.2514176492620526,2.2514176492620526,
S10,20.008999126273128,19.730306313332147,28.302212106261482,20.916804612245457,18.152436333028373,24.41456068107978,29.864598555568524,11.078397046662497,10.239348521356202,10.631497287290648,19.33391605830982,19.869652719802637,7.057302725586095
S11,36.869560582745244,67.4690687226142,41.41768903636041,22.13842266119791,42.04325894029201,53.15393413833311,48.823131417290455,33.72985427693482,59.07203353345636,,44.96855036769161,42.04325894029201,13.790043821400891
S12,13.316500104588286,21.432826428745773,15.607647492970685,9.324084396462174,,29.321986910981934,15.288816854078247,11.981343454344831,15.02186680134784,15.20636194511326,16.27793715429256,15.20636194511326,5.878569616040573
