Stalk,Test_31,Test_32,Test_33,Test_34,Test_35,Test_36,Test_37,Test_38,Test_39,Test_40,Mean,Median,Std_Dev
S01,9.47105624054545,18.658189935985252,14.263824668135724,13.587114297913262,14.594112182421364,14.284066177273132,12.807274176256213,13.931781122327509,13.73925853587251,12.199762023576147,13.753643936030656,13.83551982910001,2.285533841824335
S02,16.711482660839003,12.81382498788273,9.856429826297228,7.79285885969443,24.646822764774825,30.55547494439678,11.402942172073125,10.255589378289658,9.33946769867583,9.549055452644897,14.292394874556852,10.82926577518139,7.552316430905822
S03,11.594243437723568,14.417457989186119,16.070869005566802,12.84502426175357,15.181621084125354,13.653836479409089,15.878853986886211,13.950885032495025,17.03851985623164,16.089486410314148,14.672079754369154,14.799539536655736,1.6903191602182281
S04,23.828174330810395,24.501188598920844,21.435913994754326,18.641725135478634,23.427796830967136,23.56180125681766,22.568472537152378,24.43038965748261,28.43946550576257,24.877416927985923,23.571234477613253,23.69498779381403,2.515741929181303
S05,25.92664485733745,26.8846562301906,27.416083676231164,28.083897596199375,26.091368987289858,24.749121695093653,25.148169368786203,28.71897994586361,29.168278322692913,28.258575355804865,27.04457760354897,27.150369953210884,1.5295300097831115
S06,32.49569184852451,40.73178415505483,37.438343926868306,41.62323162643015,42.020877244184994,38.755793214380326,44.071122845357905,44.13693886070928,34.23497773985022,44.10763136334623,39.96163928247068,41.17750789074249,4.156130852705691
S07,36.38820069047653,13.367976878235341,16.61010063372856,15.677963683313406,19.557074541765708,16.88512340182825,21.47987224408548,18.4984083448759,24.560836746036895,26.402666027940104,20.94282231922862,19.027741443320807,6.749303927641454
S08,18.99651657174662,21.32432118227555,22.499175810528367,26.49429670950015,21.901531540580134,18.46924403235493,25.30152352257973,23.176881574669764,20.69856794166278,22.13984758773884,22.100190647363686,22.020689564159486,2.501094796171683
S09,18.082465711271002,15.444285026034207,19.89594738964099,15.997376163658522,11.874588993401709,12.694500160211158,17.44874016249113,15.866688843375286,17.053623801813522,24.27434410483932,16.863256035673682,16.525499982736022,3.5278045463486745
S10,32.39464678188413,45.25789648705836,,18.91328182395438,28.382922065617112,27.253869536007596,,49.89481455092439,36.94212543953392,32.43105895611847,33.93382695513729,32.4128528690013,9.983672921928038
S11,38.18212727340211,39.29306464967484,47.33232953760875,36.100194965144105,42.57555415869259,38.798676780028224,42.582386740873226,35.43477285542184,27.347694435182152,28.75069533310713,37.6397496729135,38.49040202671517,6.139874292875646
S12,22.4428154552218,16.037963250150558,22.438468193334092,23.312553810305825,22.526245822738574,16.547734378919838,20.065050991735244,23.606878591322772,23.44770597387945,20.67075607712396,21.109617254473214,22.440641824277947,2.787315889167334
