Stalk,Test_11,Test_12,Test_13,Test_14,Test_15,Test_16,Test_17,Test_18,Test_19,Test_20,Mean,Median,Std_Dev
S01,6.15346724748796,10.042085273225402,12.896426534770557,14.438923972133864,18.331296627670458,8.790648285024252,13.880699283395558,11.591790083594715,19.019647403750017,15.0162784481428,13.016126315919559,13.388562909083056,4.0401386799170185
S02,73.96618350898183,44.25117708076186,22.89295081041853,46.888945707528904,30.134346230433604,60.397447707110594,42.20735219190554,64.83702410169872,38.201815651396366,8.238882140688126,43.20161251309241,43.2292646363337,19.87885210371222
S03,31.895527085217264,,74.95152084136242,,76.99625719185936,62.44371327350259,93.74549328248845,65.7622469673211,64.24370352279071,50.120842889380356,65.01991313174028,65.00297524505591,18.49411572588564
S04,57.558079869043986,48.90127197427932,55.055361084067755,56.55513826396439,51.53023754063264,32.50035903690486,45.20369554838982,46.57883844462656,47.39530114638486,21.949722142183038,46.32280050504772,48.14828656033209,11.19787090002101
S05,24.253443662330895,35.47305881169304,53.59660873145656,40.81827032664392,37.43051369688914,56.06362485015898,47.38828372581747,41.71566625224413,51.994687559063856,34.05035263165116,42.27845102479491,41.26696828944402,10.019506316046844
S06,42.454236704561374,31.571074429246693,38.81063570493978,21.97475826743651,48.380460365515326,54.117706671573906,33.65434804115939,43.8784979454794,39.71041341343562,58.85720427199231,41.34093358153403,41.08232505899849,10.882926375072998
S07,53.94070179271043,36.488886207993765,38.89947388749814,15.050817274475364,34.83277880205781,21.030272818090243,20.304615593103502,30.284918896989794,20.786327423554447,26.37558093152438,29.79943736279979,28.330249914257088,11.611588477041643
S08,44.226718602628445,55.19319923599181,43.189584093178745,26.930408061683824,32.647756367118845,49.89823463689172,34.69590595989734,36.73334728738789,30.583429107330947,32.40676925693072,38.65053526090403,35.714626623642616,9.120425866401316
S09,,12.743266437124285,19.411730175960777,16.916569551126933,18.556855295782984,11.49115711480677,14.203605715740006,11.81880957713072,15.84243716544322,12.366933882263025,14.816818323930969,14.203605715740006,2.9851214492532523
S10,79.67633698813817,86.98813863566528,95.05361259178659,96.29313226326104,73.0768169306224,90.5411003010529,85.82951810154054,118.24010357929365,104.9679015034045,87.12677464663649,91.77934355414015,88.83393747384468,12.836614253556657
