Date,File,user_note,rodney configuration,sensor calibration (k d c),stalk array (lo med hi),sensor height (cm),sensor yaw (degrees),sensor pitch (degrees),sensor roll (degrees),rate of travel (ft/min),angle of travel (degrees),sensor offset (cm to gauge 2),positionDDT_tol,forceDDT_tol,Stalk1,Stalk2,Stalk3,Stalk4,Stalk5,Stalk6,Stalk7,Stalk8,Stalk9
07_10,Raw Data\07_10\07_10_test_101.csv,,Integrated Beam Prototype 3,-0.046833 -0.046833 -0.046016 -0.046016 : 0.009751 0.009751 0.048646 0.048646 : 0.451608 0.451608 0.359203 0.359203,lo,89.0,15.0,0.0,0.0,25.0,0.0,9.5,2.254054038176331,51.28861161062099,20.442953542243124,17.05853972805124,17.413215546577597,11.751656204520929,5.569124256375867,10.014330250756396,14.187983684782912,9.464041353144593,15.478593191587835
07_10,Raw Data\07_10\07_10_test_102.csv,,Integrated Beam Prototype 3,-0.046833 -0.046833 -0.046016 -0.046016 : 0.009751 0.009751 0.048646 0.048646 : 0.451608 0.451608 0.359203 0.359203,lo,89.0,15.0,0.0,0.0,25.0,0.0,9.5,2.254054038176331,51.28861161062099,17.73692788846195,19.99984996572258,19.9119649972587,9.992847385050656,9.740040691884378,7.076469639009306,16.92999368437254,8.601375080516306,11.691614185710993
07_10,Raw Data\07_10\07_10_test_103.csv,,Integrated Beam Prototype 3,-0.046833 -0.046833 -0.046016 -0.046016 : 0.009751 0.009751 0.048646 0.048646 : 0.451608 0.451608 0.359203 0.359203,lo,89.0,15.0,0.0,0.0,25.0,0.0,9.5,2.254054038176331,51.28861161062099,14.067781228362769,17.22952987628308,25.916379952913783,8.996199584959317,7.155322034756824,6.6649047076689305,19.759037338919963,12.275620415760216,8.00285496370996
07_10,Raw Data\07_10\07_10_test_104.csv,,Integrated Beam Prototype 3,-0.046833 -0.046833 -0.046016 -0.046016 : 0.009751 0.009751 0.048646 0.048646 : 0.451608 0.451608 0.359203 0.359203,lo,89.0,15.0,0.0,0.0,25.0,0.0,9.5,2.254054038176331,51.28861161062099,17.20316595252188,16.82076301695084,16.74438958384216,6.989973809704527,8.381135965411316,6.00284543952734,20.89498790742129,8.006129628731864,8.968559179945292
07_10,Raw Data\07_10\07_10_test_105.csv,,Integrated Beam Prototype 3,-0.046833 -0.046833 -0.046016 -0.046016 : 0.009751 0.009751 0.048646 0.048646 : 0.451608 0.451608 0.359203 0.359203,lo,89.0,15.0,0.0,0.0,25.0,0.0,9.5,2.254054038176331,51.28861161062099,18.20399906654926,21.181620127518844,22.625203236285127,9.614071224113536,6.810015302077407,5.197849215373187,14.60177982263627,7.029555699522786,12.146740555189124
07_10,Raw Data\07_10\07_10_test_106.csv,,Integrated Beam Prototype 3,-0.046833 -0.046833 -0.046016 -0.046016 : 0.009751 0.009751 0.048646 0.048646 : 0.451608 0.451608 0.359203 0.359203,lo,89.0,15.0,0.0,0.0,25.0,0.0,9.5,2.254054038176331,51.28861161062099,18.258559803703463,18.18163920854109,18.374176194925063,10.60860397191698,6.904773928245318,7.465767856288977,15.441023742602368,9.351521265249035,13.985982575080351
07_10,Raw Data\07_10\07_10_test_107.csv,,Integrated Beam Prototype 3,-0.046833 -0.046833 -0.046016 -0.046016 : 0.009751 0.009751 0.048646 0.048646 : 0.451608 0.451608 0.359203 0.359203,lo,89.0,15.0,0.0,0.0,25.0,0.0,9.5,2.254054038176331,51.28861161062099,14.44527401073119,17.951144096104816,19.634506155120352,7.820913399534321,5.3347794402982425,8.876862039617961,12.93169083125474,7.404217995696723,13.883929179007383
07_10,Raw Data\07_10\07_10_test_108.csv,,Integrated Beam Prototype 3,-0.046833 -0.046833 -0.046016 -0.046016 : 0.009751 0.009751 0.048646 0.048646 : 0.451608 0.451608 0.359203 0.359203,lo,89.0,15.0,0.0,0.0,25.0,0.0,9.5,2.254054038176331,51.28861161062099,14.717827043121783,16.318323791495366,25.414611007893544,10.335608542952508,8.205505457487487,8.235525639440024,21.17263032223777,7.088859570773844,12.513287951595943
07_10,Raw Data\07_10\07_10_test_109.csv,,Integrated Beam Prototype 3,-0.046833 -0.046833 -0.046016 -0.046016 : 0.009751 0.009751 0.048646 0.048646 : 0.451608 0.451608 0.359203 0.359203,lo,89.0,15.0,0.0,0.0,25.0,0.0,9.5,2.254054038176331,51.28861161062099,14.212293397809535,15.234448113956873,15.86150097600051,10.016598931951584,12.516401725105103,8.237067532457244,14.328395899719624,7.8197093404154066,8.935261184791896
07_10,Raw Data\07_10\07_10_test_110.csv,,Integrated Beam Prototype 3,-0.046833 -0.046833 -0.046016 -0.046016 : 0.009751 0.009751 0.048646 0.048646 : 0.451608 0.451608 0.359203 0.359203,lo,89.0,15.0,0.0,0.0,25.0,0.0,9.5,2.254054038176331,51.28861161062099,16.00944779710551,15.397915602422808,22.45005728092952,10.621841304235408,9.17132508321378,5.320258737389647,23.436726568895768,7.246045067899947,10.201593453948073
07_10,Raw Data\07_10\07_10_test_111.csv,,Integrated Beam Prototype 3,-0.046833 -0.046833 -0.046016 -0.046016 : 0.009751 0.009751 0.048646 0.048646 : 0.451608 0.451608 0.359203 0.359203,lo,89.0,15.0,0.0,0.0,25.0,0.0,9.5,2.254054038176331,51.28861161062099,16.26098169003723,16.599626096190086,15.7607396512978,10.269091734885254,7.3187959739774,10.191089008973243,20.327472769246125,7.182932641626449,13.461283816314475
07_10,Raw Data\07_10\07_10_test_112.csv,,Integrated Beam Prototype 3,-0.046833 -0.046833 -0.046016 -0.046016 : 0.009751 0.009751 0.048646 0.048646 : 0.451608 0.451608 0.359203 0.359203,lo,89.0,15.0,0.0,0.0,25.0,0.0,9.5,2.254054038176331,51.28861161062099,15.03371628553754,16.64912973277726,22.574670273697308,10.1040857850439,6.20330451153533,11.46889386029484,18.1023721334116,7.627373929925437,12.799401106816958
07_10,Raw Data\07_10\07_10_test_113.csv,,Integrated Beam Prototype 3,-0.046833 -0.046833 -0.046016 -0.046016 : 0.009751 0.009751 0.048646 0.048646 : 0.451608 0.451608 0.359203 0.359203,lo,89.0,15.0,0.0,0.0,25.0,0.0,9.5,2.254054038176331,51.28861161062099,14.741384908125733,17.83749171475815,16.724102884846154,10.444550122449153,8.490114041941798,9.038354647669069,23.57287657030104,10.71001448797152,10.974618254164833
07_10,Raw Data\07_10\07_10_test_114.csv,,Integrated Beam Prototype 3,-0.046833 -0.046833 -0.046016 -0.046016 : 0.009751 0.009751 0.048646 0.048646 : 0.451608 0.451608 0.359203 0.359203,lo,89.0,15.0,0.0,0.0,25.0,0.0,9.5,2.254054038176331,51.28861161062099,14.852499912462646,15.921153761334716,22.1468150380162,8.302834699097131,6.444206842837631,10.334652180305747,21.682291582454457,9.708364860969304,13.632286849041646
07_10,Raw Data\07_10\07_10_test_115.csv,,Integrated Beam Prototype 3,-0.046833 -0.046833 -0.046016 -0.046016 : 0.009751 0.009751 0.048646 0.048646 : 0.451608 0.451608 0.359203 0.359203,lo,89.0,15.0,0.0,0.0,25.0,0.0,9.5,2.254054038176331,51.28861161062099,17.79121791612019,14.43334128632088,22.269652196991867,9.97858203992765,5.602854033730356,4.816914613796765,21.44303667878489,9.83878367069989,11.410086941000106
07_10,Raw Data\07_10\07_10_test_116.csv,,Integrated Beam Prototype 3,-0.046833 -0.046833 -0.046016 -0.046016 : 0.009751 0.009751 0.048646 0.048646 : 0.451608 0.451608 0.359203 0.359203,med,89.0,15.0,0.0,0.0,25.0,0.0,9.0,2.620293872014538,81.04052945539165,24.171397420094184,22.949672918267883,22.364517178795925,27.97981082280113,29.31521664789144,27.608441880709503,25.45136536929597,27.92281788929561,23.92716343170301
07_10,Raw Data\07_10\07_10_test_117.csv,,Integrated Beam Prototype 3,-0.046833 -0.046833 -0.046016 -0.046016 : 0.009751 0.009751 0.048646 0.048646 : 0.451608 0.451608 0.359203 0.359203,med,89.0,15.0,0.0,0.0,25.0,0.0,9.0,2.620293872014538,81.04052945539165,22.453452905171726,18.405046591187883,19.69232062045233,30.858277298894613,27.33798360018629,27.496010004803463,23.634058669753333,29.652546889446945,24.78260603097955
07_10,Raw Data\07_10\07_10_test_118.csv,,Integrated Beam Prototype 3,-0.046833 -0.046833 -0.046016 -0.046016 : 0.009751 0.009751 0.048646 0.048646 : 0.451608 0.451608 0.359203 0.359203,med,89.0,15.0,0.0,0.0,25.0,0.0,9.0,2.620293872014538,81.04052945539165,21.71340656341239,22.79120508375958,21.17626546888163,26.075739562515537,26.3734455231732,28.05364416835925,26.052831767547364,26.27052648731404,23.15644815964811
07_10,Raw Data\07_10\07_10_test_119.csv,,Integrated Beam Prototype 3,-0.046833 -0.046833 -0.046016 -0.046016 : 0.009751 0.009751 0.048646 0.048646 : 0.451608 0.451608 0.359203 0.359203,med,89.0,15.0,0.0,0.0,25.0,0.0,9.0,2.620293872014538,81.04052945539165,24.50693940648023,19.24262592738452,21.023891203161863,26.44229046579082,25.06093724323752,23.739260881942347,22.10150129642238,23.34814111257082,18.225811443268363
07_10,Raw Data\07_10\07_10_test_120.csv,,Integrated Beam Prototype 3,-0.046833 -0.046833 -0.046016 -0.046016 : 0.009751 0.009751 0.048646 0.048646 : 0.451608 0.451608 0.359203 0.359203,med,89.0,15.0,0.0,0.0,25.0,0.0,9.0,2.620293872014538,81.04052945539165,24.836993881770294,23.08424744946484,20.14349921518066,27.025501012535106,25.739165215180805,26.345479404617336,25.87002705534859,21.61911358134656,20.838469522303708
07_10,Raw Data\07_10\07_10_test_121.csv,,Integrated Beam Prototype 3,-0.046833 -0.046833 -0.046016 -0.046016 : 0.009751 0.009751 0.048646 0.048646 : 0.451608 0.451608 0.359203 0.359203,med,89.0,15.0,0.0,0.0,25.0,0.0,9.0,2.620293872014538,81.04052945539165,18.306329468370368,23.333983210257884,21.86948403778943,23.72778603896214,22.439059657275703,23.899157946450348,17.362728529828985,24.47843825062029,20.57690504086981
07_10,Raw Data\07_10\07_10_test_122.csv,,Integrated Beam Prototype 3,-0.046833 -0.046833 -0.046016 -0.046016 : 0.009751 0.009751 0.048646 0.048646 : 0.451608 0.451608 0.359203 0.359203,med,89.0,15.0,0.0,0.0,25.0,0.0,9.0,2.620293872014538,81.04052945539165,20.08577216359404,25.077815531568035,24.816625670662408,26.678536760475986,25.107227147570143,27.040377806852263,22.673462282887385,25.3375710174462,22.353504909641625
07_10,Raw Data\07_10\07_10_test_123.csv,,Integrated Beam Prototype 3,-0.046833 -0.046833 -0.046016 -0.046016 : 0.009751 0.009751 0.048646 0.048646 : 0.451608 0.451608 0.359203 0.359203,med,89.0,15.0,0.0,0.0,25.0,0.0,9.0,2.620293872014538,81.04052945539165,21.11690607693433,22.12273780918041,22.505259081382643,25.796122774374822,23.275122008270024,25.042497948796544,25.11340871963821,25.759903312325235,23.114081518824328
07_10,Raw Data\07_10\07_10_test_124.csv,,Integrated Beam Prototype 3,-0.046833 -0.046833 -0.046016 -0.046016 : 0.009751 0.009751 0.048646 0.048646 : 0.451608 0.451608 0.359203 0.359203,med,89.0,15.0,0.0,0.0,25.0,0.0,9.0,2.620293872014538,81.04052945539165,23.39844729246739,19.79525547563445,22.03322408365826,24.113468461696822,23.9571573660874,27.575009970373248,24.212438610929407,24.32476292333926,23.81805346076313
07_10,Raw Data\07_10\07_10_test_125.csv,,Integrated Beam Prototype 3,-0.046833 -0.046833 -0.046016 -0.046016 : 0.009751 0.009751 0.048646 0.048646 : 0.451608 0.451608 0.359203 0.359203,med,89.0,15.0,0.0,0.0,25.0,0.0,9.0,2.620293872014538,81.04052945539165,20.612097754146507,20.6251072641486,22.278199649980323,26.60225795454283,25.17420839437158,25.405718772678227,25.572721544066024,28.20253215218621,20.332378388623912
07_10,Raw Data\07_10\07_10_test_126.csv,,Integrated Beam Prototype 3,-0.046833 -0.046833 -0.046016 -0.046016 : 0.009751 0.009751 0.048646 0.048646 : 0.451608 0.451608 0.359203 0.359203,med,89.0,15.0,0.0,0.0,25.0,0.0,9.0,2.620293872014538,81.04052945539165,20.368733985920063,21.07878945451177,23.84804217696671,27.13799425343732,27.23745888585717,27.83831986209747,27.218310013054708,22.976985149777047,25.38013595312896
